Region,,ISO code,Language name,,# Datasets
Indonesia,,xkl,Mainstream Kenyah,,1
Indonesia,,zrs,Mairasi,,1
Indonesia,,wmm,Maiwa,,1
Indonesia,,mak,Makasar,,14
Indonesia,,mfp,Makassar Indonesian,,0
Indonesia,,mgf,Maklew,,1
Indonesia,,xdy,Malayic Dayak,,2
Indonesia,,mli,Malimpung,,1
Indonesia,,mqj,Mamasa,,7
Indonesia,,mvd,Mamboru,,1
Indonesia,,mqx,Mamuju,,1
Indonesia,,xmm,Manado Malay,,4
Indonesia,,mdr,Mandar,,3
Indonesia,,mqr,Mander,,1
Indonesia,,aax,Mandobo Atas,,1
Indonesia,,bwp,Mandobo Bawah,,1
Indonesia,,jet,Manem,,1
Indonesia,,mqy,Manggarai,,2
Indonesia,,mqc,Mangole,,0
Indonesia,,mqp,Manipa,,0
Indonesia,,woo,Manombai,,1
Indonesia,,mpy,Mapia,,1
Indonesia,,mvr,Marau,,0
Indonesia,,mrz,Marind,,1
Indonesia,,mqi,Mariri,,0
Indonesia,,ism,Masimasi,,0
Indonesia,,bnf,Masiwang,,1
Indonesia,,mvs,Massep,,1
Indonesia,,xmt,Matbat,,1
Indonesia,,xem,Mateq,,0
Indonesia,,mgk,Mawes,,1
Indonesia,,msf,Mekwei,,1
Indonesia,,xkd,Mendalam Kayan,,0
Indonesia,,mwv,Mentawai,,3
Indonesia,,mvx,Meoswar,,1
Indonesia,,mnu,Mer,,1
Indonesia,,mej,Meyah,,3
Indonesia,,dnt,Mid Grand Valley Dani,,1
Indonesia,,min,Minangkabau,,36
Indonesia,,kja,Mlap,,1
Indonesia,,wkd,Mo,,0
Indonesia,,mxd,Modang,,1
Indonesia,,mqo,Modole,,1
Indonesia,,mxn,Moi Kelim,,1
Indonesia,,sbg,Moi Lemas,,1
Indonesia,,vms,Moksela,,0
Indonesia,,msl,Molof,,1
Indonesia,,myl,Moma,,1
Indonesia,,mso,Mombum,,1
Indonesia,,mmb,Momina,,1
Indonesia,,mqf,Momuna,,1
Indonesia,,mog,Mongondow,,3
Indonesia,,mnz,Moni,,1
Indonesia,,mhz,Mor,,1
Indonesia,,moq,Mor,,1
Indonesia,,msg,Moraid,,1
Indonesia,,mzq,Mori Atas,,1
Indonesia,,xmz,Mori Bawah,,1
Indonesia,,mqn,Moronene,,1
Indonesia,,iwo,Morop,,1
Indonesia,,mok,Morori,,1
Indonesia,,mtj,Moskona,,2
Indonesia,,akc,Mpur,,1
Indonesia,,mtd,Mualang,,1
Indonesia,,mnb,Muna,,3
Indonesia,,mth,Munggui,,1
Indonesia,,rmh,Murkim,,1
Indonesia,,mui,Musi,,7
Indonesia,,nxx,Nafri,,1
Indonesia,,nxe,Nage,,1
Indonesia,,nae,Naka’ela,,0
