display_name,ISO code,Language,Relevant Countries,Country,# Speakers
Kaera (jka),jka,Kaera,Indonesia,Indonesia,5500
Kafoa (kpu),kpu,Kafoa,Indonesia,Indonesia,1000
Kaibobo (kzb),kzb,Kaibobo,Indonesia,Indonesia,500
Kaidipang (kzp),kzp,Kaidipang,Indonesia,Indonesia,26600
Kaimbulawa (zka),zka,Kaimbulawa,Indonesia,Indonesia,2200
Kais (kzm),kzm,Kais,Indonesia,Indonesia,700
Kaiy (tcq),tcq,Kaiy,Indonesia,Indonesia,220
Kalabra (kzz),kzz,Kalabra,Indonesia,Indonesia,3290
Kalao (kly),kly,Kalao,Indonesia,Indonesia,500
Kalumpang (kli),kli,Kalumpang,Indonesia,Indonesia,20000
Kamang (woi),woi,Kamang,Indonesia,Indonesia,6000
Kamarian (kzx),kzx,Kamarian,Indonesia,Indonesia,10
Kamaru (kgx),kgx,Kamaru,Indonesia,Indonesia,3500
Kambera (xbr),xbr,Kambera,Indonesia,Indonesia,240000
Kamberau (irx),irx,Kamberau,Indonesia,Indonesia,1570
Kamoro (kgq),kgq,Kamoro,Indonesia,Indonesia,8000
Kangean (kkv),kkv,Kangean,Indonesia,Indonesia,110000
Kao (kax),kax,Kao,Indonesia,Indonesia,400
Kapauri (khp),khp,Kapauri,Indonesia,Indonesia,200
Kaptiau (kbi),kbi,Kaptiau,Indonesia,Indonesia,230
Karas (kgv),kgv,Karas,Indonesia,Indonesia,240
Karey (kyd),kyd,Karey,Indonesia,Indonesia,610
Karon Dori (kgw),kgw,Karon Dori,Indonesia,Indonesia,5000
Kata Kolok (bqy),bqy,Kata Kolok,Indonesia,Indonesia,1125
Kaur (vkk),vkk,Kaur,Indonesia,Indonesia,40000
Kaure (bpp),bpp,Kaure,Indonesia,Indonesia,450
Kauwera (xau),xau,Kauwera,Indonesia,Indonesia,400
Kawe (kgb),kgb,Kawe,Indonesia,Indonesia,600
Kayagar (kyt),kyt,Kayagar,Indonesia,Indonesia,10000
Kayan Mahakam (xay),xay,Kayan Mahakam,Indonesia,Indonesia,1300
Kayan River Kayan (xkn),xkn,Kayan River Kayan,Indonesia,Indonesia,2000
Kayeli (kzl),kzl,Kayeli,Indonesia,Indonesia,1
Kayupulau (kzu),kzu,Kayupulau,Indonesia,Indonesia,50
Ke’o (xxk),xxk,Ke’o,Indonesia,Indonesia,40000
Kedang (ksx),ksx,Kedang,Indonesia,Indonesia,30000
Kehu (khh),khh,Kehu,Indonesia,Indonesia,200
Kei (kei),kei,Kei,Indonesia,Indonesia,85000
Keijar (kdy),kdy,Keijar,Indonesia,Indonesia,370
Kelabit (kzi),kzi,Kelabit,"Indonesia, Malaysia",Indonesia,4000
Kemberano (bzp),bzp,Kemberano,Indonesia,Indonesia,1500
Kembra (xkw),xkw,Kembra,Indonesia,Indonesia,20
Kemtuik (kmt),kmt,Kemtuik,Indonesia,Indonesia,2500
Kendayan (knx),knx,Kendayan,"Indonesia, Malaysia",Indonesia,321000
Keninjal (knl),knl,Keninjal,Indonesia,Indonesia,32000
Kepo’ (kuk),kuk,Kepo’,Indonesia,Indonesia,6000
Kereho (xke),xke,Kereho,Indonesia,Indonesia,500
Kerinci (kvr),kvr,Kerinci,Indonesia,Indonesia,260000
Ketengban (xte),xte,Ketengban,Indonesia,Indonesia,9970
Ketum (ktt),ktt,Ketum,Indonesia,Indonesia,900
Kimaghima (kig),kig,Kimaghima,Indonesia,Indonesia,3000
Kimki (sbt),sbt,Kimki,Indonesia,Indonesia,500
Kioko (ues),ues,Kioko,Indonesia,Indonesia,1000
Kirikiri (kiy),kiy,Kirikiri,Indonesia,Indonesia,250
Kisar (kje),kje,Kisar,Indonesia,Indonesia,20000
Klon (kyo),kyo,Klon,Indonesia,Indonesia,5000
Koba (kpd),kpd,Koba,Indonesia,Indonesia,870
Kodeoha (vko),vko,Kodeoha,Indonesia,Indonesia,1500
Kodi (kod),kod,Kodi,Indonesia,Indonesia,20000
Kofei (kpi),kpi,Kofei,Indonesia,Indonesia,100
Kohin (kkx),kkx,Kohin,Indonesia,Indonesia,8000
Kokoda (xod),xod,Kokoda,Indonesia,Indonesia,3700
Kola (kvv),kvv,Kola,Indonesia,Indonesia,7400
Kombai (tyn),tyn,Kombai,Indonesia,Indonesia,4000
Komering (kge),kge,Komering,Indonesia,Indonesia,470000
Komodo (kvh),kvh,Komodo,Indonesia,Indonesia,1730
Kompane (kvp),kvp,Kompane,Indonesia,Indonesia,330
Komyandaret (kzv),kzv,Komyandaret,Indonesia,Indonesia,300
Konda (knd),knd,Konda,Indonesia,Indonesia,500
Koneq-koneq (cml),cml,Koneq-koneq,Indonesia,Indonesia,30000
Koneraw (kdw),kdw,Koneraw,Indonesia,Indonesia,1200
Kopkaka (opk),opk,Kopkaka,Indonesia,Indonesia,400
Koroni (xkq),xkq,Koroni,Indonesia,Indonesia,500
Korowai (khe),khe,Korowai,Indonesia,Indonesia,3500
Korupun-Sela (kpq),kpq,Korupun-Sela,Indonesia,Indonesia,8000
Kosare (kiq),kiq,Kosare,Indonesia,Indonesia,250
Kosarek Yale (kkl),kkl,Kosarek Yale,Indonesia,Indonesia,2300
Kota Bangun Kutai Malay (mqg),mqg,Kota Bangun Kutai Malay,Indonesia,Indonesia,80000
Kowiai (kwh),kwh,Kowiai,Indonesia,Indonesia,600
Kubu (kvb),kvb,Kubu,Indonesia,Indonesia,10000
Kui (kvd),kvd,Kui,Indonesia,Indonesia,4240
Kula (tpg),tpg,Kula,Indonesia,Indonesia,5000
Kulisusu (vkl),vkl,Kulisusu,Indonesia,Indonesia,22000
Kumbewaha (xks),xks,Kumbewaha,Indonesia,Indonesia,3400
Kupang Malay (mkn),mkn,Kupang Malay,Indonesia,Indonesia,350000
Kur (kuv),kuv,Kur,Indonesia,Indonesia,3180
Kuri (nbn),nbn,Kuri,Indonesia,Indonesia,500
Kurudu (kjr),kjr,Kurudu,Indonesia,Indonesia,2180
Kwer (kwr),kwr,Kwer,Indonesia,Indonesia,100
Kwerba (kwe),kwe,Kwerba,Indonesia,Indonesia,2500
Kwerba Mamberamo (xwr),xwr,Kwerba Mamberamo,Indonesia,Indonesia,300
Kwerisa (kkb),kkb,Kwerisa,Indonesia,Indonesia,15
Kwesten (kwt),kwt,Kwesten,Indonesia,Indonesia,2000
Kwinsu (kuc),kuc,Kwinsu,Indonesia,Indonesia,500
Laba (lau),lau,Laba,Indonesia,Indonesia,2000
Laha (lhh),lhh,Laha,Indonesia,Indonesia,3890
Laiyolo (lji),lji,Laiyolo,Indonesia,Indonesia,800
Lamaholot (slp),slp,Lamaholot,Indonesia,Indonesia,180000
Lamalera (lmr),lmr,Lamalera,Indonesia,Indonesia,4000
Lamatuka (lmq),lmq,Lamatuka,Indonesia,Indonesia,4000
Lamboya (lmy),lmy,Lamboya,Indonesia,Indonesia,25000
Lampung Api (ljp),ljp,Lampung Api,Indonesia,Indonesia,827000
Lampung Nyo (abl),abl,Lampung Nyo,Indonesia,Indonesia,180000
Land Dayak (day),day,Land Dayak,Indonesia,Indonesia,520000
Larantuka Malay (lrt),lrt,Larantuka Malay,Indonesia,Indonesia,20000
Larike-Wakasihu (alo),alo,Larike-Wakasihu,Indonesia,Indonesia,12600
Lasalimu (llm),llm,Lasalimu,Indonesia,Indonesia,1700
Latu (ltu),ltu,Latu,Indonesia,Indonesia,2130
Lauje (law),law,Lauje,Indonesia,Indonesia,44000
Lawangan (lbx),lbx,Lawangan,Indonesia,Indonesia,100000
Ledo Kaili (lew),lew,Ledo Kaili,Indonesia,Indonesia,350000
Legenyem (lcc),lcc,Legenyem,Indonesia,Indonesia,250
Lengilu (lgi),lgi,Lengilu,Indonesia,Indonesia,3
Lepki (lpe),lpe,Lepki,Indonesia,Indonesia,530
Leti (lti),lti,Leti,Indonesia,Indonesia,7500
Levuka (lvu),lvu,Levuka,Indonesia,Indonesia,4000
Lewoeleng (lwe),lwe,Lewoeleng,Indonesia,Indonesia,4000
Lewotobi (lwt),lwt,Lewotobi,Indonesia,Indonesia,6000
Li’o (ljl),ljl,Li’o,Indonesia,Indonesia,105000
Liabuku (lix),lix,Liabuku,Indonesia,Indonesia,75
Liana-Seti (ste),ste,Liana-Seti,Indonesia,Indonesia,3000
Lik (eip),eip,Lik,Indonesia,Indonesia,3000
Liki (lio),lio,Liki,Indonesia,Indonesia,11
Limola (ley),ley,Limola,Indonesia,Indonesia,2000
Lisabata-Nuniali (lcs),lcs,Lisabata-Nuniali,Indonesia,Indonesia,1830
Lisela (lcl),lcl,Lisela,Indonesia,Indonesia,11900
Lola (lcd),lcd,Lola,Indonesia,Indonesia,900
Lolak (llq),llq,Lolak,Indonesia,Indonesia,3000
Lole (llg),llg,Lole,Indonesia,Indonesia,20000
Loloda (loa),loa,Loloda,Indonesia,Indonesia,15000
Lorang (lrn),lrn,Lorang,Indonesia,Indonesia,220
Loun (lox),lox,Loun,Indonesia,Indonesia,0
Loura (lur),lur,Loura,Indonesia,Indonesia,10000
Lower Grand Valley Dani (dni),dni,Lower Grand Valley Dani,Indonesia,Indonesia,20000
Luang (lex),lex,Luang,Indonesia,Indonesia,18000
Lubu (lcf),lcf,Lubu,Indonesia,Indonesia,30000
Luhu (lcq),lcq,Luhu,Indonesia,Indonesia,6500
