index,dataset,BLEU,SacreBLEU,chrF++,ROUGE1,ROUGE2,ROUGEL,ROUGELsum,BLEU_latin,SacreBLEU_latin,chrF++_latin,ROUGE1_latin,ROUGE2_latin,ROUGEL_latin,ROUGELsum_latin,prompt_id
55,flores200_bjn_Latn_eng_Latn_seacrowd_t2t,3.354145993741671,3.3420796685585117,31.180344649590282,21.74667523092277,8.225214673565645,17.897785240860557,19.171821406337557,3.328649338876475,3.321152967200378,31.14619371364804,21.66227527106096,8.156759419525136,17.83946455428114,19.12262368411498,0
56,flores200_bug_Latn_eng_Latn_seacrowd_t2t,1.0470993042802432,1.05636540582372,24.15875315754529,14.929187293901315,2.8715012596822485,11.330723423621297,12.12243613274987,1.040208329414451,1.0557842220018137,24.162461078330317,14.923082058070436,2.84789899407895,11.298349907984152,12.14037733719541,0
57,flores200_ceb_Latn_eng_Latn_seacrowd_t2t,6.193006565081879,6.157411102535495,39.74188883273026,30.21850442234621,15.22991910101238,26.70771875255444,27.49119901879391,6.126663794257099,6.102340787849763,39.672323521546595,30.14885446610056,15.138517576210967,26.644155989225716,27.43305524909001,0
58,flores200_ilo_Latn_eng_Latn_seacrowd_t2t,3.3665128392005474,3.3670277863815756,32.006660883649424,22.372899473237297,8.592075179373712,18.41607458467856,19.60196371375714,3.3654929094282666,3.373745333792869,32.00071911243016,22.30039641579131,8.567726569307197,18.33290190462641,19.555824228293922,0
59,flores200_ind_Latn_eng_Latn_seacrowd_t2t,10.782432199615016,10.728537710029133,48.14360412983135,38.19485403712588,22.893303678584896,34.91725801884357,35.721577348632714,10.767787413311442,10.694412934636647,48.1041595090451,38.082786015221174,22.787776304215022,34.78107906476504,35.63150015118553,0
60,flores200_jav_Latn_eng_Latn_seacrowd_t2t,4.997436860095544,4.980969119615902,36.21710771630454,25.523002268193594,11.104764791695473,21.950283749737142,23.188703657634154,4.965409944843564,4.959513118837498,36.18033821036889,25.412305224176592,11.034293711858906,21.89300189014203,23.13804939042296,0
61,flores200_kac_Latn_eng_Latn_seacrowd_t2t,0.5146580987193872,0.5174052617934585,21.182544932498253,12.219299886091076,1.7049784557146093,9.226524952742594,9.685997361121364,0.5141776252838413,0.5169100625668918,21.17799159034128,12.204882781568156,1.7037920041336203,9.214431477044387,9.671666839459883,0
62,flores200_khm_Khmr_eng_Latn_seacrowd_t2t,2.8604021392740555,2.8985265769243873,29.390032749133976,20.64840759092752,6.874077625740019,17.46797220167639,18.044078890320602,2.879342615330347,2.87116754667613,29.54588330234837,20.40579463410127,6.73664260787562,17.224893860967804,17.80761009478088,0
63,flores200_lao_Laoo_eng_Latn_seacrowd_t2t,1.5780702244223739,1.5861215623957077,24.20247041868275,14.93053052430245,3.6722192911961065,12.254096468363043,12.642175433922972,1.5705726991477056,1.5854863758578959,24.212925128036357,14.80285835658201,3.590312167469624,12.203896142293463,12.547780325141572,0
64,flores200_lus_Latn_eng_Latn_seacrowd_t2t,1.499417982128933,1.4902092537478444,25.633606157789945,16.437646426822454,4.225685344569815,12.507346503502673,13.508928077170705,1.4874694799504966,1.4807787061101074,25.61234194484751,16.39478661510323,4.1838789702300385,12.499513526193596,13.480739384716381,0
